Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Oct-23,EQ,63.00,64.50,60.75,63.55,63.80,63.80,62.39,74.35,30.95,51346194.00,3203390150.75,89056.00
25-Oct-23,EQ,63.05,65.30,61.20,62.40,63.40,63.55,63.21,74.35,30.95,68858472.00,4352361879.95,127282.00
23-Oct-23,EQ,68.80,69.50,61.70,68.50,62.60,62.40,64.92,74.35,30.95,77959784.00,5061140031.20,151461.00
20-Oct-23,EQ,72.25,74.35,68.00,70.75,68.40,68.50,71.11,74.35,30.15,158772161.00,11289749898.30,256540.00
19-Oct-23,EQ,66.60,72.40,65.65,64.60,72.30,70.75,69.06,72.40,30.15,175138159.00,12094630002.00,298693.00
18-Oct-23,EQ,65.00,67.45,64.10,64.70,64.60,64.60,65.77,67.45,30.15,52791721.00,3472024503.65,83826.00
17-Oct-23,EQ,64.75,65.45,63.20,64.00,65.20,64.70,64.24,66.20,30.15,25450460.00,1635011916.90,39885.00
16-Oct-23,EQ,63.95,66.20,63.75,63.00,64.10,64.00,64.81,66.20,30.15,33174077.00,2149938564.15,61432.00
13-Oct-23,EQ,63.60,65.00,62.75,63.75,63.05,63.00,63.92,65.35,30.10,21878988.00,1398416254.40,44813.00
12-Oct-23,EQ,62.90,65.35,62.20,62.65,64.00,63.75,63.96,65.35,30.10,48261594.00,3086768809.20,73203.00
11-Oct-23,EQ,62.35,64.65,62.20,61.85,62.50,62.65,63.48,64.65,30.10,55587276.00,3528533812.90,93919.00
10-Oct-23,EQ,58.40,63.10,58.10,57.80,61.80,61.85,61.40,63.60,30.10,59244840.00,3637583796.65,91168.00
